Year,Company Name,Symbol,Stock Price,Market Cap,Revenue,Revenue Growth,NetIncomeLoss,Net Profit Margin,EPS,P/E Ratio
2019,Microsoft,MSFT,139.00124883651733,1150361466145.7578,,,,,,
2019,Apple,AAPL,55.95015621185303,1131078845528.5625,,,,,,
2019,Amazon,AMZN,91.8834056854248,980701752656.2969,,,11588000000.0,,23.46,3.916598707818619
2019,Meta Platforms (Facebook),META,190.0243730545044,465629806585.875,,,18485000000.0,,6.48,29.324748928164258
2019,Alphabet (Google),GOOG,61.712387561798096,391409674229.0469,161857000000.0,18.30008989979462,34343000000.0,21.21811228430034,49.59,1.2444522597660435
2019,JPMorgan Chase,JPM,115.38874959945679,357441946395.26953,115720000000.0,6.136899357051793,36431000000.0,31.48202557898375,10.75,10.733837172042492
2019,Johnson & Johnson,JNJ,135.86937475204468,315562923263.5,,,,,,
2019,Walmart,WMT,109.19624853134155,300642395287.791,,,,,,
2019,Berkshire Hathaway,BRK-B,211.7162504196167,298827755447.1699,254616000000.0,2.735265517255293,81417000000.0,31.9763879724762,,
2019,Visa,V,173.62875080108643,294013568218.5,22977000000.0,11.490125673249551,12080000000.0,52.574313443878665,,
2019,Mastercard,MA,267.1312484741211,275654841098.6758,16883000000.0,,,,,
2019,Procter & Gamble,PG,111.140625,261408749107.21875,,,,,1.45,76.64870689655173
2019,UnitedHealth,UNH,245.30437564849854,255307270224.4668,242155000000.0,7.031253453084461,13839000000.0,5.714934649294873,14.55,16.85940726106519
2019,Exxon Mobil,XOM,73.85187482833862,229929571549.30273,264938000000.0,-8.70880597632076,14340000000.0,5.41258709584884,3.36,21.979724651291257
2019,Home Depot,HD,212.42500114440918,198550428854.95508,,,,,,
2019,NVIDIA,NVDA,43.767500162124634,147567790011.1289,10918000000.0,,,,,
2019,Oracle,ORCL,53.084999799728394,138433120361.95898,,,10135000000.0,,3.16,16.7990505695343
2019,Broadcom,AVGO,295.10062408447266,132779460454.09375,,,,,6.77,43.589457028725654
2019,Eli Lilly,LLY,118.73187494277954,118401605345.77832,22319500000.0,,8318400000.0,37.26965209794126,8.93,13.295842658765906
2019,Tesla,TSLA,21.936333298683167,91352516867.54004,,,,,-0.98,-22.384013570084864
